car_trip_id,transit_trip_id,car_trip_sequence,car_pos_sequence,car_destination_time,transit_trip_sequence,transit_pos_sequence,transit_destination_time,car_arrival_time_transit_stop,integration_distance,shared_distance,destinations_distance
6028743_2_2,6077413_2_1,1,1,2010-06-23 09:01:33.999999,2,5,2010-06-23 09:14:44.000001,2010-06-23 08:52:17.000000,1915.204,2596.66,7212.908
6028743_2_2,6077413_2_1,1,1,2010-06-23 09:04:30.000000,2,6,2010-06-23 09:17:44.000001,2010-06-23 08:51:48.000001,1716.783,3885.142,7212.908
6028743_2_2,6070372_2_1,1,1,2010-06-23 09:01:18.999999,2,3,2010-06-23 09:10:38.000000,2010-06-23 08:54:43.000000,2458.86,2052.152,4628.609
6027397_1_4,6043313_1_3,1,1,2010-05-21 20:46:09.000000,1,2,2010-05-21 21:16:26.000001,2010-05-21 20:36:00.999999,2771.444,2491.094,21408.359
6027397_1_4,6043313_1_3,1,1,2010-05-21 20:44:41.000001,1,3,2010-05-21 21:14:26.000001,2010-05-21 20:36:46.999999,2892.436,2063.474,21408.359
6027397_1_4,6043313_1_3,1,1,2010-05-21 20:45:24.000000,1,4,2010-05-21 21:15:26.000001,2010-05-21 20:36:19.000000,2817.376,2138.534,21408.359
6027397_1_4,6043313_1_3,1,1,2010-05-21 20:45:24.000000,2,1,2010-05-21 21:15:26.000001,2010-05-21 20:36:19.000000,2817.376,2138.534,21408.359
6027397_1_4,6043313_1_3,1,1,2010-05-21 20:41:48.000001,2,2,2010-05-21 21:11:26.000001,2010-05-21 20:32:45.000000,1690.916,2444.92,21408.359
6027397_1_4,6043313_1_3,1,1,2010-05-21 20:42:44.999999,2,3,2010-05-21 21:12:26.000001,2010-05-21 20:30:38.000000,1612.36,3941.902,21408.359
6027397_1_4,6043313_1_3,1,1,2010-05-21 20:40:34.000001,2,4,2010-05-21 21:10:26.000001,2010-05-21 20:26:35.000000,518.876,4272.853,21408.359
6027397_1_4,6043313_1_3,1,1,2010-05-21 20:49:45.000001,2,5,2010-05-21 21:19:26.000001,2010-05-21 20:31:02.000001,1388.347,5157.35,21408.359
