id,sampn,perno,tripno,MODE_G10,NSUB,StopAreaNo,date_time_origin,lon_origin,lat_origin,date_time_destination,lon_destination,lat_destination
2304,6084819,1,1,8,0,,2008-09-20 12:00:00,-73.9157734698,40.821866052,2008-09-20 12:25:00,-73.8743555486,40.8270109432
2305,6084819,1,2,8,0,,2008-09-20 15:30:00,-73.8743555486,40.8270109432,2008-09-20 15:45:00,-73.9157734698,40.821866052
2306,6084828,1,1,7,0,,2008-06-21 17:00:00,,,2008-06-21 17:40:00,,
2307,6084828,1,2,7,0,,2008-06-21 19:30:00,,,2008-06-21 19:35:00,,
2308,6084828,1,3,7,0,,2008-06-21 21:20:00,,,2008-06-21 22:00:00,,
2309,6084841,1,1,3,0,,2008-06-21 12:00:00,-73.9020924263,40.8271290202,2008-06-21 14:00:00,,
2310,6084841,1,2,3,0,,2008-06-21 15:30:00,,,2008-06-21 17:00:00,-73.9020924263,40.8271290202
2311,6084946,1,1,10,0,,2008-06-21 10:30:00,-73.8660249907,40.8616581247,2008-06-21 10:35:00,-73.8660249907,40.8616581247
2312,6084946,1,2,10,0,,2008-06-21 10:45:00,-73.8660249907,40.8616581247,2008-06-21 11:00:00,-73.8660249907,40.8616581247
2313,6084946,1,3,9,0,,2008-06-21 11:15:00,-73.8660249907,40.8616581247,2008-06-21 11:30:00,-73.8635339953,40.8534922114
2314,6084946,1,4,9,0,,2008-06-21 11:55:00,-73.8635339953,40.8534922114,2008-06-21 12:00:00,,
2315,6084946,1,5,9,0,,2008-06-21 12:15:00,,,2008-06-21 12:25:00,-73.8635339953,40.8534922114
2316,6084946,1,6,9,0,,2008-06-21 12:45:00,-73.8635339953,40.8534922114,2008-06-21 13:00:00,,
2317,6084946,1,7,9,0,,2008-06-21 13:00:00,,,2008-06-21 13:20:00,-73.8660249907,40.8616581247
2318,6085096,1,1,3,0,,2008-06-21 15:00:00,-73.8688856688,40.8684895357,2008-06-21 16:05:00,,
2319,6085096,1,2,3,0,,2008-06-21 17:00:00,,,2008-06-21 17:35:00,-73.8273739899,40.8743472554
2320,6085096,1,3,3,0,,2008-06-21 19:05:00,-73.8273739899,40.8743472554,2008-06-21 19:20:00,-73.8559535746,40.875307485
2321,6085096,1,4,3,0,,2008-06-21 19:30:00,-73.8559535746,40.875307485,2008-06-21 19:50:00,-73.8624964949,40.8780970579
2322,6085096,1,5,3,0,,2008-06-21 19:55:00,-73.8624964949,40.8780970579,2008-06-21 20:15:00,-73.8688856688,40.8684895357
2323,6085115,1,1,1,1,1015.0,2008-06-21 06:00:00,-73.9860247732,40.7573151851,2008-06-21 07:00:00,-73.898789013,40.8515610299
2324,6085115,1,2,8,0,,2008-06-21 13:00:00,-73.898789013,40.8515610299,2008-06-21 13:15:00,-73.9014956407,40.8325885341
2325,6085115,1,3,1,1,,2008-06-21 13:35:00,-73.9014956407,40.8325885341,2008-06-21 13:45:00,-73.898789013,40.8515610299
2326,6085123,1,1,10,0,,2008-06-21 13:30:00,,,2008-06-21 13:45:00,-73.9118389522,40.8849080469
2327,6085123,1,2,9,0,,2008-06-21 13:50:00,-73.9118389522,40.8849080469,2008-06-21 14:00:00,-73.9118389522,40.8849080469
2328,6085123,1,3,9,0,,2008-06-21 14:10:00,-73.9118389522,40.8849080469,2008-06-21 14:15:00,-73.9118389522,40.8849080469
2329,6085123,1,4,9,0,,2008-06-21 14:35:00,-73.9118389522,40.8849080469,2008-06-21 14:45:00,-73.9085601116,40.8849388945
2330,6085123,1,5,9,0,,2008-06-21 14:50:00,-73.9085601116,40.8849388945,2008-06-21 14:52:00,-73.9085601116,40.8849388945
2331,6085123,1,6,9,0,,2008-06-21 15:00:00,-73.9085601116,40.8849388945,2008-06-21 15:15:00,,
2332,6085306,1,1,1,0,,2008-06-21 15:00:00,,,2008-06-21 15:30:00,,
2333,6085306,1,2,1,0,,2008-06-21 18:30:00,,,2008-06-21 19:00:00,,
2334,6085333,1,1,7,0,,2008-06-21 11:00:00,-73.9046579281,40.8827142029,2008-06-21 12:00:00,,
2335,6085333,1,2,3,0,,2008-06-21 15:00:00,,,2008-06-21 15:30:00,-73.9046579281,40.8827142029
2336,6085359,1,1,3,0,,2008-06-21 04:00:00,,,2008-06-21 06:00:00,,
2337,6085359,1,2,3,0,,2008-06-21 11:20:00,,,2008-06-21 12:45:00,,
2338,6085359,1,3,3,0,,2008-06-21 15:00:00,,,2008-06-21 16:00:00,,
2339,6085445,1,1,8,0,,2008-06-21 13:00:00,,,2008-06-21 13:10:00,-73.9085601116,40.8849388945
2340,6085445,1,2,8,0,,2008-06-21 13:30:00,-73.9085601116,40.8849388945,2008-06-21 13:45:00,-73.9025457111,40.8805338501
2341,6085445,1,3,8,0,,2008-06-21 13:50:00,-73.9025457111,40.8805338501,2008-06-21 14:00:00,,
2342,6085479,1,1,3,0,,2008-06-21 15:00:00,-73.9182511638,40.849454833,2008-06-21 15:30:00,-73.9399227377,40.8403259776
2343,6085479,1,2,3,0,,2008-06-21 16:00:00,-73.9399227377,40.8403259776,2008-06-21 17:00:00,-73.898789013,40.8515610299
2344,6085479,1,3,3,0,,2008-06-21 21:00:00,-73.898789013,40.8515610299,2008-06-21 22:05:00,-73.9182511638,40.849454833
2345,6085488,1,1,3,0,,2008-09-06 14:00:00,-73.8990783473,40.8162672386,2008-09-06 14:30:00,-73.9048672802,40.8157902974
2346,6085488,1,2,3,0,,2008-09-06 16:00:00,-73.9048672802,40.8157902974,2008-09-06 16:30:00,-73.8990783473,40.8162672386
2347,6085513,1,1,3,0,,2008-06-21 11:00:00,-73.9058883606,40.8666657876,2008-06-21 12:00:00,-73.8849825332,40.8564211294
2348,6085513,1,2,3,0,,2008-06-21 14:00:00,-73.8849825332,40.8564211294,2008-06-21 15:00:00,-73.9058883606,40.8666657876
2349,6085513,1,3,2,1,1032.0,2008-06-21 18:30:00,-73.9058883606,40.8666657876,2008-06-21 19:30:00,-73.9459971889,40.8341157573
