id,sampn,perno,tripno,MODE_G10,NSUB,StopAreaNo,date_time_origin,lon_origin,lat_origin,date_time_destination,lon_destination,lat_destination
1284,6036902,1,7,9,0,,2008-06-01 21:30:00,,,2008-06-01 21:40:00,-73.9066901803,40.7669903939
1285,6036902,3,1,1,1,1261.0,2008-06-01 10:00:00,-73.9107521742,40.7629976619,2008-06-01 11:15:00,-73.9785303511,40.6817353162
1286,6036902,3,2,1,1,1076.0,2008-06-01 13:00:00,-73.9785303511,40.6817353162,2008-06-01 14:00:00,,
1287,6036902,3,3,9,0,,2008-06-01 14:30:00,,,2008-06-01 14:31:00,,
1288,6036902,3,4,9,0,,2008-06-01 14:36:00,,,2008-06-01 14:40:00,-73.9107521742,40.7629976619
1289,6036902,3,5,9,0,,2008-06-01 15:00:00,-73.9107521742,40.7629976619,2008-06-01 15:15:00,-73.9107521742,40.7629976619
1290,6036967,1,1,1,1,1261.0,2008-05-25 08:02:00,-73.9107521742,40.7629976619,2008-05-25 08:40:00,-73.9995787242,40.7299672269
1291,6036967,1,2,1,1,1180.0,2008-05-25 17:08:00,-73.9995787242,40.7299672269,2008-05-25 17:45:00,-73.9107521742,40.7629976619
1292,6036967,1,3,9,0,,2008-05-25 18:15:00,-73.9107521742,40.7629976619,2008-05-25 18:25:00,-73.9107521742,40.7629976619
1293,6036967,1,4,9,0,,2008-05-25 18:50:00,-73.9107521742,40.7629976619,2008-05-25 19:00:00,-73.9107521742,40.7629976619
1294,6036967,2,1,10,0,,2008-05-25 12:15:00,-73.9107521742,40.7629976619,2008-05-25 12:21:00,-73.9107521742,40.7629976619
1295,6036967,2,2,10,0,,2008-05-25 12:35:00,-73.9107521742,40.7629976619,2008-05-25 12:47:00,-73.9107521742,40.7629976619
1296,6037054,1,1,7,0,,2008-06-15 06:00:00,,,2008-06-15 06:20:00,-73.9221678874,40.7715050282
1297,6037054,1,2,7,0,,2008-06-15 19:40:00,-73.9221678874,40.7715050282,2008-06-15 20:00:00,,
1298,6037223,1,1,1,2,1165.0,2008-05-04 08:30:00,-73.9196685618,40.7453411577,2008-05-04 09:00:00,-73.9880349402,40.7647380436
1299,6037223,1,2,1,2,1370.0,2008-05-04 14:30:00,-73.9880349402,40.7647380436,2008-05-04 15:15:00,-73.9196685618,40.7453411577
1300,6037300,1,1,3,0,,2008-07-13 08:00:00,-73.9246838397,40.7366477652,2008-07-13 08:45:00,-73.9183423201,40.7557866088
1301,6037300,1,2,3,0,,2008-07-13 17:00:00,-73.9183423201,40.7557866088,2008-07-13 18:30:00,-73.9246838397,40.7366477652
1302,6037417,1,1,8,0,,2008-06-01 08:45:00,-73.9049147189,40.7689711558,2008-06-01 09:00:00,-73.9073130684,40.7787951209
1303,6037417,1,2,8,0,,2008-06-01 11:30:00,-73.9073130684,40.7787951209,2008-06-01 11:45:00,-73.9049147189,40.7689711558
1304,6037417,1,3,8,0,,2008-06-01 12:15:00,-73.9049147189,40.7689711558,2008-06-01 12:30:00,-73.9207972533,40.774465093
1305,6037417,1,4,8,0,,2008-06-01 15:00:00,-73.9207972533,40.774465093,2008-06-01 15:15:00,-73.9049147189,40.7689711558
1306,6037417,1,5,8,0,,2008-06-01 18:15:00,-73.9049147189,40.7689711558,2008-06-01 18:30:00,-73.9073130684,40.7787951209
1307,6037417,1,6,8,0,,2008-06-01 20:30:00,-73.9073130684,40.7787951209,2008-06-01 20:50:00,-73.9049147189,40.7689711558
1308,6037455,1,1,1,1,1366.0,2008-05-25 06:25:00,,,2008-05-25 09:30:00,,
1309,6037455,1,2,1,1,1105.0,2008-05-25 19:00:00,,,2008-05-25 22:20:00,,
1310,6037516,1,1,8,0,,2008-05-18 08:15:00,-73.9186024945,40.7764815342,2008-05-18 08:25:00,-73.9107521742,40.7629976619
1311,6037516,1,2,8,0,,2008-05-18 10:00:00,-73.9107521742,40.7629976619,2008-05-18 13:00:00,-73.9133459997,40.7744205745
1312,6037516,1,3,8,0,,2008-05-18 13:30:00,-73.9133459997,40.7744205745,2008-05-18 14:00:00,-73.9186024945,40.7764815342
1313,6037631,1,1,1,1,1363.0,2008-05-11 12:30:00,-73.9220408974,40.7620307887,2008-05-11 13:25:00,-73.9823535094,40.7623458099
1314,6037631,1,2,1,1,1014.0,2008-05-11 18:00:00,-73.9823535094,40.7623458099,2008-05-11 18:35:00,-73.999390822,40.7205703309
1315,6037631,1,3,1,1,1377.0,2008-05-11 21:30:00,-73.999390822,40.7205703309,2008-05-11 22:40:00,-73.9220408974,40.7620307887
1316,6037749,1,1,1,1,1363.0,2008-05-25 11:00:00,-73.927329931,40.7645435597,2008-05-25 11:55:00,-73.9915367761,40.7497308443
1317,6037749,1,2,1,0,,2008-05-25 15:45:00,-73.9915367761,40.7497308443,2008-05-25 16:20:00,-73.927329931,40.7645435597
1318,6037749,1,3,7,0,,2008-05-25 21:30:00,-73.927329931,40.7645435597,2008-05-25 23:45:00,,
1319,6037749,2,1,8,0,,2008-05-25 21:30:00,-73.927329931,40.7645435597,2008-05-25 23:45:00,,
1320,6037796,1,1,10,0,,2008-05-04 13:00:00,-73.9331581449,40.7602879193,2008-05-04 13:30:00,-73.9200240459,40.7644846346
1321,6037796,1,2,9,0,,2008-05-04 15:00:00,-73.9200240459,40.7644846346,2008-05-04 15:10:00,-73.9150773054,40.7810604843
1322,6037796,1,3,9,0,,2008-05-04 20:45:00,-73.9150773054,40.7810604843,2008-05-04 21:00:00,-73.9331581449,40.7602879193
1323,6037943,1,1,8,0,,2008-05-18 10:00:00,-73.9514084065,40.744841646,2008-05-18 10:15:00,,
1324,6037943,1,2,8,0,,2008-05-18 12:00:00,,,2008-05-18 12:05:00,-73.9488302932,40.7280488101
1325,6037943,1,3,8,0,,2008-05-18 13:00:00,-73.9488302932,40.7280488101,2008-05-18 13:05:00,,
1326,6037943,1,4,8,0,,2008-05-18 13:15:00,,,2008-05-18 13:30:00,-73.9514084065,40.744841646
1327,6038125,1,1,3,0,,2008-05-11 09:50:00,-73.8096603752,40.7791791818,2008-05-11 10:20:00,-73.8336418609,40.7589783246
1328,6038125,1,2,3,0,,2008-05-11 15:30:00,-73.8336418609,40.7589783246,2008-05-11 16:00:00,-73.8096603752,40.7791791818
