sampn,hcnty,hhtaz,hhzip,lang,hhnum,hhveh,hmrac,hhinc,hhtel,hstruc,wtrip,strip,ttrips,ttrans,truse,otran,auto,subwy,mbus,EXP1_FINAL_SAT,EXP1_FINAL_SUN,EXP1_FINAL_WKD,EXP1_FINAL_WKNDAY,EXP1_FINAL_WKNTOT,EXP_HH1B_AVGDAY
6091863,"Kings                                             ",1366,"11219",1,5,1,1,2,3,3,,,2,1,1,,,,1,,1.6280999999999999e+03,,7.3210000000000002e+02,1.4641400000000001e+03,2.1398237142857141e+02
6091872,"Kings                                             ",1408,"11218",1,6,0,5,1,1,6,,,2,2,1,,,1,,,,3.1400000000000000e+02,,,2.2944428571428568e+02
6091878,"Kings                                             ",1083,"11201",1,2,0,5,5,3,4,,1,2,2,1,,,1,,,1.8210999999999999e+03,,7.3210000000000002e+02,1.4641400000000001e+03,2.1398237142857141e+02
6091880,"Kings                                             ",1081,"11201",1,3,0,1,7,3,2,,,7,0,,,,,,1.7817000000000000e+03,,,1.0095000000000000e+03,2.0190100000000000e+03,2.9506242857142854e+02
6091882,"Kings                                             ",1380,"11218",1,4,1,4,1,3,4,,,3,0,,,,,,1.5600999999999999e+03,,,7.3210000000000002e+02,1.4641400000000001e+03,2.1398237142857141e+02
6091887,"Kings                                             ",1261,"11225",1,1,0,1,1,3,4,,,0,0,,,,,,,,3.6950000000000000e+02,,,2.6999892857142856e+02
6091891,"Kings                                             ",1347,"11223",1,5,0,4,1,1,3,,,2,2,1,,,1,,,,2.7200000000000000e+02,,,1.9875428571428569e+02
6091892,"Kings                                             ",1157,"11237",1,2,1,5,3,3,2,1,,5,3,1,,,1,,,,3.0800000000000000e+02,,,2.2505999999999997e+02
6091894,"Kings                                             ",1191,"11207",1,2,2,2,3,1,4,,,3,2,1,,,1,,1.5613000000000000e+03,,,7.3329999999999995e+02,1.4666500000000001e+03,2.1433311428571426e+02
6091905,"Kings                                             ",1419,"11230",1,2,0,1,1,3,4,,,3,3,1,,,1,1,,1.6060000000000000e+03,,9.5279999999999995e+02,1.9055400000000000e+03,2.7848982857142852e+02
6091934,"Kings                                             ",1259,"11238",1,2,1,5,3,3,3,,,3,0,,,,,,,,2.4550000000000000e+02,,,1.7939035714285714e+02
6091938,"Kings                                             ",1103,"11238",1,4,0,2,2,3,2,,,2,1,1,,,1,,,,2.5140000000000001e+02,,,1.8370157142857141e+02
6091944,"Kings                                             ",1212,"11217",1,6,0,1,1,1,4,1,,3,4,1,,,1,1,,,2.7200000000000000e+02,,,1.9875428571428569e+02
6091947,"Kings                                             ",1284,"11213",1,1,0,5,1,1,6,,,2,4,1,,,1,1,,,3.6950000000000000e+02,,,2.6999892857142856e+02
6091966,"Kings                                             ",1382,"11224",1,1,0,1,1,1,6,,,0,0,,,,,,,2.1645000000000000e+03,,1.1884000000000001e+03,2.3768499999999999e+03,3.4735234285714284e+02
6091968,"Kings                                             ",1259,"11238",1,1,0,1,3,3,4,1,,3,5,1,,,1,1,1.5600999999999999e+03,,,7.3210000000000002e+02,1.4641400000000001e+03,2.1398237142857141e+02
6091970,"Kings                                             ",1524,"11236",1,4,1,2,3,3,1,,,2,2,1,,,,1,,,3.6950000000000000e+02,,,2.6999892857142856e+02
6091974,"Kings                                             ",1533,"11236",1,1,1,2,4,3,4,1,,4,0,,,,,,,,2.2759999999999999e+02,,,1.6631057142857142e+02
6091979,"Kings                                             ",1488,"11210",1,2,2,2,5,3,2,1,,3,0,,,,,,,,2.2759999999999999e+02,,,1.6631057142857142e+02
6091989,"Kings                                             ",1191,"11207",1,5,0,2,5,1,1,,,6,4,1,,,1,1,,,3.6950000000000000e+02,,,2.6999892857142856e+02
6091993,"Kings                                             ",1035,"11222",1,4,1,1,4,3,1,,,0,0,,,,,,2.2055999999999999e+03,,,1.1178000000000000e+03,2.2355599999999999e+03,3.2671697142857141e+02
6092007,"Kings                                             ",1058,"11206",1,3,0,1,1,3,3,,1,2,0,,,,,,,1.6023000000000000e+03,,1.0069000000000000e+03,2.0137000000000000e+03,2.9430248571428564e+02
6092022,"Kings                                             ",1506,"11234",2,5,0,3,2,3,2,,,2,0,,,,,,,,2.5140000000000001e+02,,,1.8370157142857141e+02
6092032,"Kings                                             ",1158,"11221",1,2,0,5,2,3,6,,,2,0,,,,,,,1.3333000000000000e+03,,8.2329999999999995e+02,1.6465200000000000e+03,2.4063882857142855e+02
6092036,"Kings                                             ",1374,"11204",1,5,0,1,1,1,3,,,7,0,,,,,,,1.3333000000000000e+03,,7.3210000000000002e+02,1.4641400000000001e+03,2.1398237142857141e+02
6092039,"Kings                                             ",1284,"11213",1,5,1,1,5,3,1,1,,3,0,,,,,,,,3.6950000000000000e+02,,,2.6999892857142856e+02
6092049,"Kings                                             ",1401,"11226",1,4,0,2,1,1,6,,,2,2,1,,,1,,,1.3333000000000000e+03,,7.3210000000000002e+02,1.4641400000000001e+03,2.1398237142857141e+02
6092055,"Kings                                             ",1327,"11214",1,2,1,1,3,3,4,1,,2,2,1,,,1,,,,2.4550000000000000e+02,,,1.7939035714285714e+02
6092069,"Kings                                             ",1181,"11207",1,4,1,2,3,1,1,1,,5,4,1,,,1,,2.2055999999999999e+03,,,1.1178000000000000e+03,2.2355599999999999e+03,3.2671697142857141e+02
6092092,"Kings                                             ",1363,"11218",1,5,0,1,1,3,1,,,2,0,,,,,,,,2.2759999999999999e+02,,,1.6631057142857142e+02
6092097,"Kings                                             ",1287,"11203",1,2,1,5,1,3,4,1,,4,4,1,,,,1,,,3.0010000000000002e+02,,,2.1928735714285713e+02
6092104,"Kings                                             ",1246,"11220",1,5,0,1,1,3,1,,,0,0,,,,,,1.5600999999999999e+03,,,7.3210000000000002e+02,1.4641400000000001e+03,2.1398237142857141e+02
6092119,"Kings                                             ",1496,"11212",1,3,2,2,3,3,4,1,,2,4,1,,,1,1,,,2.5459999999999999e+02,,,1.8603985714285713e+02
6092130,"Kings                                             ",1434,"11235",1,3,2,1,3,3,6,,,4,0,,,,,,,,3.6950000000000000e+02,,,2.6999892857142856e+02
6092151,"Kings                                             ",1206,"11217",1,2,0,5,1,1,6,,,1,1,1,,,1,,2.5325999999999999e+03,,,1.1884000000000001e+03,2.3768499999999999e+03,3.4735234285714284e+02
6092152,"Kings                                             ",1222,"11215",1,2,0,1,2,3,6,,,2,0,,,,,,,,3.2850000000000000e+02,,,2.4003964285714284e+02
6092155,"Kings                                             ",1088,"11201",1,1,0,2,3,3,4,,,4,0,,,,,,,1.3333000000000000e+03,,7.3210000000000002e+02,1.4641400000000001e+03,2.1398237142857141e+02
6092160,"Kings                                             ",1505,"11234",1,4,1,1,3,3,2,1,,2,2,1,,,1,,,,3.6950000000000000e+02,,,2.6999892857142856e+02
6092169,"Kings                                             ",1257,"11216",1,2,0,5,1,3,2,1,,4,0,,,,,,,,2.2759999999999999e+02,,,1.6631057142857142e+02
6092175,"Kings                                             ",1209,"11215",1,4,1,1,3,1,1,,,4,2,1,,,1,,,,3.6950000000000000e+02,,,2.6999892857142856e+02
6092181,"Kings                                             ",1267,"11213",1,4,1,1,1,3,3,,,5,0,,,,,,,1.3333000000000000e+03,,7.3210000000000002e+02,1.4641400000000001e+03,2.1398237142857141e+02
6092185,"Kings                                             ",1151,"11221",1,3,0,5,2,3,6,,,3,0,,,,,,,,2.2759999999999999e+02,,,1.6631057142857142e+02
6092194,"Kings                                             ",1350,"11219",1,4,1,4,3,1,4,1,,2,2,1,,,1,,,,2.5500000000000000e+02,,,1.8633214285714283e+02
6092220,"Kings                                             ",1213,"11217",1,1,1,1,2,3,4,,,0,0,,,,,,,,2.7250000000000000e+02,,,1.9911964285714282e+02
6092268,"Kings                                             ",1377,"11230",1,3,2,1,3,3,2,1,1,6,0,,,,,,,,3.3950000000000000e+02,,,2.4807749999999999e+02
