transit_id,stop_id,taxi_id,taxi_pos_sequence,taxi_private_cost,taxi_shared_cost,transit_shared_cost
6067170_1_3,3:135,6065846_1_2,1,30.9202166203,17.2904752751,18.0115067219
6067170_1_3,3:135,6025391_2_2,1,30.9202166203,17.2904752751,18.0115067219
6067170_1_3,3:129,6065846_1_2,4,30.9202166203,18.0881377717,17.7247494423
6067170_1_3,3:129,6025391_2_2,4,30.9202166203,18.0881377717,17.7247494423
6067170_1_3,3:128,6065846_1_2,4,30.9202166203,17.5993587992,17.2359704699
6067170_1_3,3:128,6025391_2_2,4,30.9202166203,17.5993587992,17.2359704699
6067170_1_3,3:127,6065846_1_2,1,30.9202166203,16.9164479921,17.6374794388
6067170_1_3,3:127,6065846_1_2,4,30.9202166203,17.5319912135,17.1686028841
6067170_1_3,3:127,6025391_2_2,1,30.9202166203,16.9164479921,17.6374794388
6067170_1_3,3:127,6025391_2_2,4,30.9202166203,17.5319912135,17.1686028841
6067170_1_3,3:126,6065846_1_2,1,30.9202166203,16.7841588829,17.5051903296
6067170_1_3,3:126,6065846_1_2,4,30.9202166203,17.3763687676,17.0129804383
6067170_1_3,3:126,6025391_2_2,1,30.9202166203,16.7841588829,17.5051903296
6067170_1_3,3:126,6025391_2_2,4,30.9202166203,17.3763687676,17.0129804383
6067170_1_3,3:125,6065846_1_2,1,30.9202166203,17.4314051605,18.1524366072
6067170_1_3,3:125,6065846_1_2,4,30.9202166203,18.4669483719,18.1035600425
6067170_1_3,3:125,6025391_2_2,1,30.9202166203,17.4314051605,18.1524366072
6067170_1_3,3:125,6025391_2_2,4,30.9202166203,18.4669483719,18.1035600425
6067170_1_3,3:124,6065846_1_2,1,30.9202166203,18.0222434376,18.7432748843
6067170_1_3,3:124,6065846_1_2,4,30.9202166203,19.0577866623,18.694398333
6067170_1_3,3:124,6025391_2_2,1,30.9202166203,18.0222434376,18.7432748843
6067170_1_3,3:124,6025391_2_2,4,30.9202166203,19.0577866623,18.694398333
6067170_1_3,3:123,6065846_1_2,1,30.9202166203,17.2247256795,17.9457571262
6067170_1_3,3:123,6065846_1_2,4,30.9202166203,17.9302688975,17.5668805682
6067170_1_3,3:123,6025391_2_2,1,30.9202166203,17.2247256795,17.9457571262
6067170_1_3,3:123,6025391_2_2,4,30.9202166203,17.9302688975,17.5668805682
6067170_1_3,3:122,6065846_1_2,4,30.9202166203,16.7181595621,16.3547712327
6067170_1_3,3:122,6025391_2_2,4,30.9202166203,16.7181595621,16.3547712327
6067479_1_4,10:L03,6069041_1_2,1,16.1212006041,15.2714630287,6.50735781263
6067479_1_4,10:L02,6069041_1_2,1,16.1212006041,14.3390166184,5.57491140233
6067479_1_4,10:L01,6069041_1_2,1,16.1212006041,14.6917834413,5.92767822522
6067497_1_2,3:633,6022080_3_6,1,15.4899575723,8.19143447364,6.86686132524
6067497_1_2,3:633,6022080_3_6,2,15.4899575723,8.71805183314,6.21212969297
6067497_1_2,3:633,6022080_3_6,5,15.4899575723,10.8328189041,6.67383708438
6067497_1_2,3:633,6022080_2_6,1,15.4899575723,8.19143447364,6.86686132524
6067497_1_2,3:633,6022080_2_6,2,15.4899575723,8.71805183314,6.21212969297
6067497_1_2,3:633,6022080_2_6,5,15.4899575723,10.8328189041,6.67383708438
6067497_1_2,3:633,6022067_2_6,1,15.4899575723,8.19143447364,6.86686132524
6067497_1_2,3:633,6022067_2_6,2,15.4899575723,8.71805183314,6.21212969297
6067497_1_2,3:633,6022067_2_6,5,15.4899575723,10.8328189041,6.67383708438
6067497_1_2,3:632,6022080_3_6,1,15.4899575723,7.70492428205,6.38035113366
6067497_1_2,3:632,6022080_3_6,2,15.4899575723,8.23680077035,5.73087863018
6067497_1_2,3:632,6022080_2_6,1,15.4899575723,7.70492428205,6.38035113366
6067497_1_2,3:632,6022080_2_6,2,15.4899575723,8.23680077035,5.73087863018
6067497_1_2,3:632,6022067_2_6,1,15.4899575723,7.70492428205,6.38035113366
6067497_1_2,3:632,6022067_2_6,2,15.4899575723,8.23680077035,5.73087863018
6067548_2_2,3:D16,6065846_1_2,4,30.9202166203,24.5724532888,13.3561136349
6067548_2_2,3:D16,6025391_2_2,4,30.9202166203,24.5724532888,13.3561136349
6067548_2_2,3:D15,6065846_1_2,1,30.9202166203,23.6465437014,13.5146238236
6067548_2_2,3:D15,6065846_1_2,4,30.9202166203,24.1887535894,12.9724139356
6067548_2_2,3:D15,6025391_2_2,1,30.9202166203,23.6465437014,13.5146238236
6067548_2_2,3:D15,6025391_2_2,4,30.9202166203,24.1887535894,12.9724139356
6067548_2_2,3:F12,6065846_1_2,1,30.9202166203,23.285514723,13.1535948452
6067548_2_2,3:F12,6065846_1_2,4,30.9202166203,23.9377246077,12.7213849538
6067548_2_2,3:F12,6025391_2_2,1,30.9202166203,23.285514723,13.1535948452
6067548_2_2,3:F12,6025391_2_2,4,30.9202166203,23.9377246077,12.7213849538
6067548_2_2,3:F11,6065846_1_2,1,30.9202166203,24.4780302233,14.3461103455
6067548_2_2,3:F11,6065846_1_2,4,30.9202166203,25.5135734447,14.2972337908
6067548_2_2,3:F11,6025391_2_2,1,30.9202166203,24.4780302233,14.3461103455
6067548_2_2,3:F11,6025391_2_2,4,30.9202166203,25.5135734447,14.2972337908
6067792_1_4,8:627,6071666_1_4,1,9.99273027784,9.95343668411,11.5420636033
6067792_1_4,8:628,6071666_1_4,1,9.99273027784,9.70794693717,11.2965738563
6067994_2_5,4:630N,6104276_1_7,1,9.15182424326,7.19434088838,6.66122973067
6067994_2_5,4:630N,6104276_1_7,5,9.15182424326,8.65786117779,6.64765950086
6067994_2_5,4:629N,6104276_1_7,1,9.15182424326,7.05919192926,6.52608077154
6067994_2_5,4:629N,6104276_1_7,5,9.15182424326,7.77512592292,5.76492424599
6067994_2_5,4:628N,6104276_1_7,1,9.15182424326,6.77651821421,6.2434070565
6067994_2_5,4:628N,6104276_1_7,5,9.15182424326,7.63848577574,5.62828409881
6068563_1_4,10:634,6072616_1_2,1,14.824101069,7.61726201828,10.7960814061
6068563_1_4,10:634,6072616_1_2,2,14.824101069,8.92112432441,9.4455524333
6068563_1_4,10:631,6072616_1_2,1,14.824101069,6.33464493422,9.51346432203
6068563_1_4,10:631,6072616_1_2,2,14.824101069,7.46809713882,7.9925252477
6068563_1_4,10:631,6072616_1_2,6,14.824101069,8.37250469103,7.79252507221
6068563_1_4,10:631,6072616_1_2,7,14.824101069,9.0352053692,7.58028877956
6068563_1_4,10:630,6072616_1_2,1,14.824101069,6.44002451306,9.61884390087
6068563_1_4,10:630,6072616_1_2,2,14.824101069,7.74388682252,8.26831493141
6068563_1_4,10:630,6072616_1_2,6,14.824101069,8.48942401637,7.90944439756
6068563_1_4,10:630,6072616_1_2,7,14.824101069,8.78022583512,7.32530924548
6068563_1_4,10:629,6072616_1_2,1,14.824101069,6.42590120608,9.60472059389
