transit_id,stop_id,taxi_id,taxi_pos_sequence,taxi_private_cost,taxi_shared_cost,transit_shared_cost,detour_factor
6106604_1_2,5:F11,6109168_1_2,10,42.907247691215005,13.55396660246484,48.48149604851266,0.7815126054798389
6106604_1_2,5:F11,6109168_1_2,11,42.907247691215005,13.55396660246484,48.48149604851266,0.7815126054798389
6106604_1_2,5:F11,6109155_2_2,1,42.907247691215005,11.565398270771649,41.36854007460252,0.7815126054798389
6106604_1_2,5:F11,6109155_2_2,2,42.907247691215005,11.773689589794031,42.113582102246795,0.7815126054798389
6106604_1_2,5:F11,6109155_2_2,5,42.907247691215005,11.894585946638605,42.54601907206889,0.7815126054798389
6106604_1_2,5:F11,6109155_2_2,6,42.907247691215005,12.113642679733172,43.32956815783932,0.7815126054798389
6106604_1_2,5:F11,6109155_2_2,7,42.907247691215005,14.128365976250956,50.53607842924655,0.7815126054798389
6106604_1_2,5:F11,6109155_2_2,10,42.907247691215005,13.55396660246484,48.48149604851266,0.7815126054798389
6106604_1_2,5:F11,6109155_2_2,11,42.907247691215005,13.55396660246484,48.48149604851266,0.7815126054798389
6106604_1_2,5:F11,6109155_3_2,1,42.907247691215005,11.565398270771649,41.36854007460252,0.7815126054798389
6106604_1_2,5:F11,6109155_3_2,2,42.907247691215005,11.773689589794031,42.113582102246795,0.7815126054798389
6106604_1_2,5:F11,6109155_3_2,5,42.907247691215005,11.894585946638605,42.54601907206889,0.7815126054798389
6106604_1_2,5:F11,6109155_3_2,6,42.907247691215005,12.113642679733172,43.32956815783932,0.7815126054798389
6106604_1_2,5:F11,6109155_3_2,7,42.907247691215005,14.128365976250956,50.53607842924655,0.7815126054798389
6106604_1_2,5:F11,6109155_3_2,10,42.907247691215005,13.55396660246484,48.48149604851266,0.7815126054798389
6106604_1_2,5:F11,6109155_3_2,11,42.907247691215005,13.55396660246484,48.48149604851266,0.7815126054798389
6106604_1_2,5:F11,6109168_2_2,1,42.907247691215005,11.565398270771649,41.36854007460252,0.7815126054798389
6106604_1_2,5:F11,6109168_2_2,2,42.907247691215005,11.773689589794031,42.113582102246795,0.7815126054798389
6106604_1_2,5:F11,6109168_2_2,5,42.907247691215005,11.894585946638605,42.54601907206889,0.7815126054798389
6106604_1_2,5:F11,6109168_2_2,6,42.907247691215005,12.113642679733172,43.32956815783932,0.7815126054798389
6106604_1_2,5:F11,6109168_2_2,7,42.907247691215005,14.128365976250956,50.53607842924655,0.7815126054798389
6106604_1_2,5:F11,6109168_2_2,10,42.907247691215005,13.55396660246484,48.48149604851266,0.7815126054798389
6106604_1_2,5:F11,6109168_2_2,11,42.907247691215005,13.55396660246484,48.48149604851266,0.7815126054798389
6106604_1_2,5:F09,6109168_1_2,1,42.907247691215005,16.410691951232433,34.98068553636507,0.680672269288892
6106604_1_2,5:F09,6109168_1_2,2,42.907247691215005,16.76575098996615,35.73752190973051,0.680672269288892
6106604_1_2,5:F09,6109168_1_2,5,42.907247691215005,16.942445665497445,36.114160560865884,0.680672269288892
6106604_1_2,5:F09,6109168_1_2,6,42.907247691215005,17.26260550643336,36.796606538794975,0.680672269288892
6106604_1_2,5:F09,6109168_1_2,7,42.907247691215005,20.20720109603594,43.07324451711739,0.680672269288892
6106604_1_2,5:F09,6109168_1_2,10,42.907247691215005,17.775016281105742,37.88885056040759,0.680672269288892
6106604_1_2,5:F09,6109168_1_2,11,42.907247691215005,17.709021883425446,37.74817829142122,0.680672269288892
6106604_1_2,5:F09,6109155_2_2,1,42.907247691215005,16.410691951232433,34.98068553636507,0.680672269288892
6106604_1_2,5:F09,6109155_2_2,2,42.907247691215005,16.76575098996615,35.73752190973051,0.680672269288892
6106604_1_2,5:F09,6109155_2_2,5,42.907247691215005,16.942445665497445,36.114160560865884,0.680672269288892
6106604_1_2,5:F09,6109155_2_2,6,42.907247691215005,17.26260550643336,36.796606538794975,0.680672269288892
6106604_1_2,5:F09,6109155_2_2,7,42.907247691215005,20.20720109603594,43.07324451711739,0.680672269288892
6106604_1_2,5:F09,6109155_2_2,10,42.907247691215005,17.775016281105742,37.88885056040759,0.680672269288892
6106604_1_2,5:F09,6109155_2_2,11,42.907247691215005,17.709021883425446,37.74817829142122,0.680672269288892
6106604_1_2,5:F09,6109155_3_2,1,42.907247691215005,16.410691951232433,34.98068553636507,0.680672269288892
6106604_1_2,5:F09,6109155_3_2,2,42.907247691215005,16.76575098996615,35.73752190973051,0.680672269288892
6106604_1_2,5:F09,6109155_3_2,5,42.907247691215005,16.942445665497445,36.114160560865884,0.680672269288892
6106604_1_2,5:F09,6109155_3_2,6,42.907247691215005,17.26260550643336,36.796606538794975,0.680672269288892
6106604_1_2,5:F09,6109155_3_2,7,42.907247691215005,20.20720109603594,43.07324451711739,0.680672269288892
6106604_1_2,5:F09,6109155_3_2,10,42.907247691215005,17.775016281105742,37.88885056040759,0.680672269288892
6106604_1_2,5:F09,6109155_3_2,11,42.907247691215005,17.709021883425446,37.74817829142122,0.680672269288892
6106604_1_2,5:F09,6109168_2_2,1,42.907247691215005,16.410691951232433,34.98068553636507,0.680672269288892
6106604_1_2,5:F09,6109168_2_2,2,42.907247691215005,16.76575098996615,35.73752190973051,0.680672269288892
6106604_1_2,5:F09,6109168_2_2,5,42.907247691215005,16.942445665497445,36.114160560865884,0.680672269288892
6106604_1_2,5:F09,6109168_2_2,6,42.907247691215005,17.26260550643336,36.796606538794975,0.680672269288892
6106604_1_2,5:F09,6109168_2_2,7,42.907247691215005,20.20720109603594,43.07324451711739,0.680672269288892
6106604_1_2,5:F09,6109168_2_2,10,42.907247691215005,17.775016281105742,37.88885056040759,0.680672269288892
6106604_1_2,5:F09,6109168_2_2,11,42.907247691215005,17.709021883425446,37.74817829142122,0.680672269288892
6107309_1_1,5:723,6101719_1_1,1,8.508657414002503,4.390623810055086,11.064961383947415,0.7159199244193707
6109534_1_3,8:629,6104034_1_2,1,16.632595150772502,0.6246685384224893,18.615122444990007,0.9675324675324672
6109534_1_3,8:629,6104034_1_2,3,16.632595150772502,0.6473958113662124,19.29239517871295,0.9675324675324672
6109534_1_3,5:R11,6104034_1_2,1,16.632595150772502,0.6289338126739505,18.742227617683554,0.9675324675324672
6109534_1_3,5:R11,6104034_1_2,3,16.632595150772502,0.6516610851847731,19.419500338506058,0.9675324675324672
6110067_3_2,10:720,6035599_1_4,3,11.239427460255001,4.011283477377997,22.918268150242003,0.8510452928126784
6115525_2_3,3:631,6037837_1_4,1,12.649798112354997,0.7337717677617949,20.143218551582372,0.9648526077495999
6115525_2_3,3:631,6037837_1_4,2,12.649798112354997,0.7663416845804989,21.037315301430333,0.9648526077495999
6115525_2_3,3:631,6037837_1_4,4,12.649798112354997,0.7969078784661329,21.876406624889704,0.9648526077495999
6115803_1_2,5:707,6118200_1_3,1,34.623185598602504,15.693102561475925,53.945039482929076,0.774647885472459
6115803_1_2,5:707,6118200_1_3,4,34.623185598602504,16.26165703114715,55.89944545169536,0.774647885472459
6115803_1_2,5:707,6118200_1_3,5,34.623185598602504,18.792286886442163,54.42887918268284,0.7433489809667718
6115803_1_2,5:707,6118200_5_3,1,34.623185598602504,15.693102561475925,53.945039482929076,0.774647885472459
6115803_1_2,5:707,6118200_5_3,4,34.623185598602504,16.26165703114715,55.89944545169536,0.774647885472459
6115803_1_2,5:707,6118200_5_3,5,34.623185598602504,18.792286886442163,54.42887918268284,0.7433489809667718
6115803_1_2,5:702,6118200_1_3,1,34.623185598602504,29.014846662752177,36.26855809005531,0.5555555539326492
