transit_id,stop_id,taxi_id,taxi_pos_sequence,taxi_private_cost,taxi_shared_cost,transit_shared_cost
6032642_2_2,10:631,6068388_1_3,1,6.82839690691,2.01927011541,24.1188442204
6032642_2_2,10:631,6068388_1_3,4,6.82839690691,2.66508041356,23.4728630452
6032831_1_2,10:126,6029347_1_2,1,8.17702363217,2.43375442487,6.43375442487
6032831_1_2,10:125,6029347_1_2,1,8.17702363217,2.28837812838,6.28837812838
6032831_1_2,10:125,6029347_1_2,5,8.17702363217,3.4597405126,5.35034907749
6032831_1_2,10:125,6029347_1_2,8,8.17702363217,4.11592111488,4.46083514187
6032847_1_2,3:124,6007906_1_3,1,35.0752378174,33.1295576055,13.5081269251
6032847_1_2,3:124,6007906_1_3,4,35.0752378174,34.402172793,13.1557854899
6032847_1_2,3:124,6054183_2_3,1,35.0752378174,33.1295576055,13.5081269251
6032847_1_2,3:124,6054183_2_3,4,35.0752378174,34.402172793,13.1557854899
6032847_1_2,3:124,6007906_3_3,1,35.0752378174,33.1295576055,13.5081269251
6032847_1_2,3:124,6007906_3_3,4,35.0752378174,34.402172793,13.1557854899
6032847_1_2,3:123,6007906_1_3,1,35.0752378174,31.7722099382,12.1507792578
6032847_1_2,3:123,6007906_1_3,4,35.0752378174,32.7313516211,11.484964318
6032847_1_2,3:123,6054183_2_3,1,35.0752378174,31.7722099382,12.1507792578
6032847_1_2,3:123,6054183_2_3,4,35.0752378174,32.7313516211,11.484964318
6032847_1_2,3:123,6007906_3_3,1,35.0752378174,31.7722099382,12.1507792578
6032847_1_2,3:123,6007906_3_3,4,35.0752378174,32.7313516211,11.484964318
6032847_1_2,3:122,6007906_1_3,1,35.0752378174,31.072706209,11.4512755286
6032847_1_2,3:122,6007906_1_3,4,35.0752378174,32.2268330302,10.9804457271
6032847_1_2,3:122,6007906_1_3,7,35.0752378174,34.8312532944,12.0295743783
6032847_1_2,3:122,6054183_2_3,1,35.0752378174,31.072706209,11.4512755286
6032847_1_2,3:122,6054183_2_3,4,35.0752378174,32.2268330302,10.9804457271
6032847_1_2,3:122,6054183_2_3,7,35.0752378174,34.8312532944,12.0295743783
6032847_1_2,3:122,6007906_3_3,1,35.0752378174,31.072706209,11.4512755286
6032847_1_2,3:122,6007906_3_3,4,35.0752378174,32.2268330302,10.9804457271
6032847_1_2,3:122,6007906_3_3,7,35.0752378174,34.8312532944,12.0295743783
6032847_1_2,3:121,6007906_1_3,1,35.0752378174,30.7523798622,11.1309491818
6032847_1_2,3:121,6007906_1_3,4,35.0752378174,31.8207784798,10.5743911767
6032847_1_2,3:121,6007906_1_3,7,35.0752378174,33.1605568509,10.3588779349
6032847_1_2,3:121,6054183_2_3,1,35.0752378174,30.7523798622,11.1309491818
6032847_1_2,3:121,6054183_2_3,4,35.0752378174,31.8207784798,10.5743911767
6032847_1_2,3:121,6054183_2_3,7,35.0752378174,33.1605568509,10.3588779349
6032847_1_2,3:121,6007906_3_3,1,35.0752378174,30.7523798622,11.1309491818
6032847_1_2,3:121,6007906_3_3,4,35.0752378174,31.8207784798,10.5743911767
6032847_1_2,3:121,6007906_3_3,7,35.0752378174,33.1605568509,10.3588779349
6032847_1_2,3:120,6007906_1_3,1,35.0752378174,30.4632053471,10.8417746667
6032847_1_2,3:120,6007906_1_3,4,35.0752378174,31.6328427616,10.3864554585
6032847_1_2,3:120,6007906_1_3,7,35.0752378174,33.0213014632,10.2196225471
6032847_1_2,3:120,6054183_2_3,1,35.0752378174,30.4632053471,10.8417746667
