transit_id,stop_id,taxi_id,taxi_pos_sequence,taxi_arrival_time_transit_stop,taxi_destination_time,transit_destination_time,integration_distance,shared_distance,destinations_distance
6030582_1_4,10:122,6081235_1_2,1,2010-06-19 21:39:35.000002,2010-06-19 22:44:34.999998,2010-06-19 21:57:33.000000,3973.263,3380.555,47669.842
6030582_1_4,10:122,6081235_1_2,3,2010-06-19 21:41:53.000002,2010-06-19 22:44:34.999998,2010-06-19 21:57:33.000000,4716.322,3380.555,47669.842
6030582_1_4,10:122,6081235_1_2,5,2010-06-19 21:47:41.000000,2010-06-19 22:44:34.999998,2010-06-19 21:57:33.000000,5983.643,3380.555,47669.842
6030582_1_4,10:122,6081235_1_2,8,2010-06-19 21:51:41.999999,2010-06-19 22:48:34.999998,2010-06-19 22:01:33.000000,7029.312,3380.555,47669.842
6030582_1_4,10:122,6081235_1_2,11,2010-06-19 21:55:19.000001,2010-06-19 22:52:34.999998,2010-06-19 22:05:33.000000,8348.665,3380.555,47669.842
6030582_1_4,10:123,6081235_1_2,1,2010-06-19 21:42:26.999999,2010-06-19 22:50:34.999998,2010-06-19 22:03:10.000000,2875.166,4228.698,47669.842
6030582_1_4,10:123,6081235_1_2,3,2010-06-19 21:44:00.999999,2010-06-19 22:50:34.999998,2010-06-19 22:03:10.000000,3431.342,4228.698,47669.842
6030582_1_4,10:123,6081235_1_2,5,2010-06-19 21:49:40.999999,2010-06-19 22:50:34.999998,2010-06-19 22:03:10.000000,4487.55,4228.698,47669.842
6030582_1_4,10:123,6081235_1_2,8,2010-06-19 21:53:42.000000,2010-06-19 22:54:34.999998,2010-06-19 22:07:10.000000,5533.219,4228.698,47669.842
6030582_1_4,10:123,6081235_1_2,11,2010-06-19 21:54:16.000000,2010-06-19 22:55:34.999998,2010-06-19 22:08:10.000000,7940.714,4228.698,47669.842
6030582_1_4,10:124,6081235_1_2,1,2010-06-19 21:39:35.000001,2010-06-19 22:53:34.999998,2010-06-19 22:06:44.000000,1857.603,4488.683,47669.842
6030582_1_4,10:124,6081235_1_2,3,2010-06-19 21:40:21.000000,2010-06-19 22:53:34.999998,2010-06-19 22:06:44.000000,2682.661,4488.683,47669.842
6030582_1_4,10:124,6081235_1_2,5,2010-06-19 21:46:01.000000,2010-06-19 22:53:34.999998,2010-06-19 22:06:44.000000,3738.869,4488.683,47669.842
6030582_1_4,10:124,6081235_1_2,8,2010-06-19 21:50:02.000001,2010-06-19 22:53:34.999998,2010-06-19 22:06:44.000000,4784.538,4488.683,47669.842
6030582_1_4,10:124,6081235_1_2,11,2010-06-19 21:50:35.999999,2010-06-19 22:53:34.999998,2010-06-19 22:06:44.000000,7192.033,4488.683,47669.842
6030582_1_4,10:125,6081235_1_2,1,2010-06-19 21:36:23.000000,2010-06-19 22:54:34.999998,2010-06-19 22:07:05.000002,1114.782,4301.882,47669.842
6030582_1_4,10:125,6081235_1_2,3,2010-06-19 21:37:09.000000,2010-06-19 22:54:34.999998,2010-06-19 22:07:05.000002,1939.84,4301.882,47669.842
6030582_1_4,10:125,6081235_1_2,5,2010-06-19 21:42:49.000000,2010-06-19 22:54:34.999998,2010-06-19 22:07:05.000002,2996.048,4301.882,47669.842
6030582_1_4,10:125,6081235_1_2,8,2010-06-19 21:46:50.000000,2010-06-19 22:54:34.999998,2010-06-19 22:07:05.000002,4041.717,4301.882,47669.842
6030582_1_4,10:125,6081235_1_2,11,2010-06-19 21:51:07.000000,2010-06-19 22:54:34.999998,2010-06-19 22:07:05.000002,6410.107,4301.882,47669.842
6030582_1_4,10:126,6081235_1_2,1,2010-06-19 21:31:15.000000,2010-06-19 22:55:34.999998,2010-06-19 22:08:35.000000,200.432,7513.241,47669.842
6030582_1_4,10:126,6081235_1_2,3,2010-06-19 21:33:46.000000,2010-06-19 22:55:34.999998,2010-06-19 22:08:35.000000,943.582,7513.241,47669.842
6030582_1_4,10:126,6081235_1_2,5,2010-06-19 21:40:00.000001,2010-06-19 22:55:34.999998,2010-06-19 22:08:35.000000,2148.772,7513.241,47669.842
6030582_1_4,10:126,6081235_1_2,8,2010-06-19 21:44:07.999998,2010-06-19 22:55:34.999998,2010-06-19 22:08:35.000000,2964.455,7513.241,47669.842
6030582_1_4,10:126,6081235_1_2,11,2010-06-19 21:48:18.000001,2010-06-19 22:55:34.999998,2010-06-19 22:08:35.000000,5632.063,7513.241,47669.842
6030582_1_4,10:127,6081235_1_2,1,2010-06-19 21:34:29.000000,2010-06-19 22:58:34.999998,2010-06-19 22:11:38.000000,896.201,8015.934,47669.842
6030582_1_4,10:127,6081235_1_2,3,2010-06-19 21:34:51.000000,2010-06-19 22:58:34.999998,2010-06-19 22:11:38.000000,1321.673,8015.934,47669.842
6030582_1_4,10:127,6081235_1_2,5,2010-06-19 21:36:38.000000,2010-06-19 22:58:34.999998,2010-06-19 22:11:38.000000,1289.511,8015.934,47669.842
6030582_1_4,10:127,6081235_1_2,8,2010-06-19 21:40:33.999999,2010-06-19 22:58:34.999998,2010-06-19 22:11:38.000000,1984.753,8015.934,47669.842
6030582_1_4,10:127,6081235_1_2,11,2010-06-19 21:44:43.999998,2010-06-19 22:58:34.999998,2010-06-19 22:11:38.000000,4652.361,8015.934,47669.842
6030582_1_4,10:127,6081235_1_2,12,2010-06-19 22:03:36.000001,2010-06-19 23:06:34.999998,2010-06-19 22:19:38.000000,15171.737,8015.934,47669.842
6030582_1_4,10:725,6081235_1_2,1,2010-06-19 21:34:31.000000,2010-06-19 23:04:34.999998,2010-06-19 22:17:24.000001,909.742,8015.015,47669.842
6030582_1_4,10:725,6081235_1_2,3,2010-06-19 21:34:53.000000,2010-06-19 23:04:34.999998,2010-06-19 22:17:24.000001,1335.214,8015.015,47669.842
6030582_1_4,10:725,6081235_1_2,5,2010-06-19 21:36:40.000000,2010-06-19 23:04:34.999998,2010-06-19 22:17:24.000001,1303.052,8015.015,47669.842
6030582_1_4,10:725,6081235_1_2,8,2010-06-19 21:40:36.000000,2010-06-19 23:04:34.999998,2010-06-19 22:17:24.000001,1998.294,8015.015,47669.842
