transit_id,stop_id,taxi_id,taxi_pos_sequence,taxi_arrival_time_transit_stop,taxi_destination_time,transit_destination_time,integration_distance,shared_distance,destinations_distance
6088184_1_2,10:G30,6089061_1_3,12,2010-06-20 16:38:02.000000,2010-06-20 17:03:07.000002,2010-06-20 16:42:43.000000,2163.157,2219.33,14240.613
6088184_1_2,10:G31,6089061_1_3,8,2010-06-20 16:35:05.000000,2010-06-20 17:03:07.000002,2010-06-20 16:42:50.999999,1073.471,1532.974,14240.613
6088551_1_1,3:A41,6088357_1_1,3,2010-06-20 10:34:20.000000,2010-06-20 11:12:45.000001,2010-06-20 10:59:29.000000,948.855,14904.05,5984.234
6088551_1_1,3:A41,6088357_1_1,5,2010-06-20 10:34:13.000000,2010-06-20 11:12:45.000001,2010-06-20 10:59:29.000000,535.679,14904.05,5984.234
6088551_1_1,3:A41,6088357_1_1,7,2010-06-20 10:35:31.000001,2010-06-20 11:13:45.000001,2010-06-20 11:00:29.000000,601.49,14904.05,5984.234
6088551_1_1,3:F18,6088357_1_1,4,2010-06-20 10:35:29.000000,2010-06-20 11:12:45.000001,2010-06-20 10:59:40.000001,1246.917,14122.547,5984.234
6088551_1_1,3:F18,6088357_1_1,6,2010-06-20 10:34:10.000000,2010-06-20 11:11:45.000001,2010-06-20 10:58:40.000001,613.806,14122.547,5984.234
6108905_1_2,5:714,6106747_1_4,7,2010-10-24 17:53:14.999999,2010-10-24 18:32:00.000001,2010-10-24 18:12:11.999999,3539.945,3393.445,8616.36
6005073_4_2,3:630,6072510_1_3,1,2010-06-18 18:34:06.000000,2010-06-18 18:44:53.000000,2010-06-18 18:56:48.000002,930.5,2824.134,9672.609
6005073_4_2,3:630,6104045_2_3,1,2010-06-18 18:34:06.000000,2010-06-18 18:44:53.000000,2010-06-18 18:56:48.000002,930.5,2824.134,9672.609
6005073_4_2,3:630,6105098_2_3,1,2010-06-18 18:34:06.000000,2010-06-18 18:44:53.000000,2010-06-18 18:56:48.000002,930.5,2824.134,9672.609
6005073_4_2,3:629,6072510_1_3,1,2010-06-18 18:33:11.000000,2010-06-18 18:42:06.000000,2010-06-18 18:54:48.000002,870.81,2053.489,9672.609
6005073_4_2,3:629,6104045_2_3,1,2010-06-18 18:33:11.000000,2010-06-18 18:42:06.000000,2010-06-18 18:54:48.000002,870.81,2053.489,9672.609
6005073_4_2,3:629,6105098_2_3,1,2010-06-18 18:33:11.000000,2010-06-18 18:42:06.000000,2010-06-18 18:54:48.000002,870.81,2053.489,9672.609
6005073_4_2,3:628,6072510_1_3,1,2010-06-18 18:36:06.000000,2010-06-18 18:41:11.000000,2010-06-18 18:53:48.000002,1435.387,1336.01,9672.609
6005073_4_2,3:628,6072510_1_3,4,2010-06-18 18:34:53.000000,2010-06-18 18:41:11.000000,2010-06-18 18:53:48.000002,269.2,1336.01,9672.609
6005073_4_2,3:628,6104045_2_3,1,2010-06-18 18:36:06.000000,2010-06-18 18:41:11.000000,2010-06-18 18:53:48.000002,1435.387,1336.01,9672.609
