transit_id,taxi_id,detour_factor
6030582_1_4,6081235_1_2,0.7437664035433071
6030582_1_4,6081235_1_2,0.7437664035433071
6030582_1_4,6081235_1_2,0.7437664035433071
6030582_1_4,6081235_1_2,0.7437664035433071
6030582_1_4,6081235_1_2,0.7437664035433071
6030582_1_4,6081235_1_2,0.9012467185039371
6030582_1_4,6081235_1_2,0.8618766397637796
6030582_1_4,6081235_1_2,0.8618766397637796
6030582_1_4,6081235_1_2,0.8618766397637796
6030582_1_4,6081235_1_2,0.8618766397637796
6030582_1_4,6081235_1_2,0.8618766397637796
6030582_1_4,6081235_1_2,0.8421916003937009
6030582_1_4,6081235_1_2,0.8421916003937009
6030582_1_4,6081235_1_2,0.8421916003937009
6030582_1_4,6081235_1_2,0.8421916003937009
6030582_1_4,6081235_1_2,0.8421916003937009
6030582_1_4,6081235_1_2,0.8421916003937009
6030582_1_4,6081235_1_2,0.8225065610236221
6030582_1_4,6081235_1_2,0.8225065610236221
6030582_1_4,6081235_1_2,0.8225065610236221
6030582_1_4,6081235_1_2,0.8225065610236221
6030582_1_4,6081235_1_2,0.8225065610236221
6030582_1_4,6081235_1_2,0.8225065610236221
6030582_1_4,6081235_1_2,0.8618766397637796
6030582_1_4,6081235_1_2,0.8421916003937009
6030582_1_4,6081235_1_2,0.8421916003937009
6030582_1_4,6081235_1_2,0.8421916003937009
6030582_1_4,6081235_1_2,0.8421916003937009
6030582_1_4,6081235_1_2,0.8421916003937009
6030582_1_4,6081235_1_2,0.8421916003937009
6030582_1_4,6081235_1_2,0.8421916003937009
6030582_1_4,6081235_1_2,0.9012467185039371
6030582_1_4,6081235_1_2,0.9012467185039371
6030582_1_4,6081235_1_2,0.9012467185039371
6030582_1_4,6081235_1_2,0.9012467185039371
6030582_1_4,6081235_1_2,0.9012467185039371
6030582_1_4,6081235_1_2,0.9012467185039371
6030582_1_4,6081235_1_2,0.9012467185039371
6030582_1_4,6081235_1_2,0.9012467185039371
6030582_1_4,6081235_1_2,0.8028215216535434
6030582_1_4,6081235_1_2,0.8028215216535434
6030582_1_4,6081235_1_2,0.8028215216535434
6030582_1_4,6081235_1_2,0.8028215216535434
6030582_1_4,6081235_1_2,0.8028215216535434
6030582_1_4,6081235_1_2,0.8028215216535434
6030582_1_4,6081235_1_2,0.8028215216535434
6030582_1_4,6081235_1_2,0.8225065610236221
6030582_1_4,6081235_1_2,0.8618766397637796
6030582_1_4,6073513_1_6,0.5256861375972456
6030582_1_4,6073513_1_6,0.4412385654055161
6030582_1_4,6073513_1_6,0.48346235150138084
6030582_1_4,6073513_1_6,0.5256861375972456
6030582_1_4,6073513_1_6,0.5679099236931103
6032078_1_4,6005839_3_4,0.4252873563218392
6032078_1_4,6005839_3_4,0.4252873563218392
6032078_1_4,6005839_3_4,0.4482758620689657
6032078_1_4,6005839_3_4,0.4022988505747128
6032078_1_4,6005839_3_4,0.28735632183908044
6032078_1_4,6005839_3_4,0.28735632183908044
6032078_1_4,6005839_3_4,0.3333333333333333
6032078_1_4,6005839_3_4,0.3333333333333333
6032078_1_4,6005839_3_4,0.3333333333333333
6032078_1_4,6005839_3_4,0.47126436781609216
6032078_1_4,6005839_3_4,0.3793103448275862
6032078_1_4,6005839_3_4,0.3793103448275862
